Aktenzeichen des BfArM;Name des Tests;Hersteller;Europäischer Bevollmächtigter;Probennahme;Sensitivität %;Spezifität %;Gebrauchsanweisung
5640-S-100/21;COVID-19 N Antigen Schnelltest SARS-CoV-2 (vorderer Nasenabstrich);Aripa Biotec GmbH;;nasal;98,40;98,80;https://aripa-biotec.com/wp-content/uploads/2021/04/Packungsbeilage-AntigenSchnelltest_PDF_LAIEN_ARIPA_20210326_FINAL.pdf
5640-S-122/21;NOVA Test® SARS-CoV-2 Antigen Schnelltestkit (Kolloidale Gold Immunchromatographie);Atlas Link Technology Co., Ltd;MT Promedt Consulting GmbH;nasal;92,00;100,00;http://www.unilatex.com.sg/AT-LNovatestAg(1).pdf
5640-S-316/21;Dia Sure COVID-19 Antigen Schnelltest;Azure Biotech Inc.;Lotus NL B. V.;nasal;91,40;100,00;http://www.azure.bio/wp-content/uploads/2021/05/316-21-IFU_20Tests.pdf
5640-S-080/21;Coronavirus (2019-nCoV)-Antigentest - Speichel;Beijing Hotgen Biotech Co.,Ltd;MedNet GmbH;Speichel;96,30;99,13;https://maiimg.com/pdf/?e=agA2x6j6iIAhcm
5640-S-057/21;Coronavirus (2019-nCoV)-Antigentest;Beijing Hotgen Biotech Co.,Ltd;MedNet GmbH;nasal;95,37;99,13;https://dr-grob.com/Gebrauchsanweisung_ANTIGEN_Laientest.pdf
5640-S-104/21;NASOCHECKcomfort SARS-CoV-2 Antigen-Schnelltest;Beijing Lepu Medical Technology Co., Ltd.;Lepu Medical (Europe) Cooperatief U.A.;nasal;95,06;99,62;https://www.emotive-systems.de/wp-content/uploads/2021/04/IFU-German-V7.4.6b.pdf
5640-S-094/21;WANTAI SARS-CoV-2 Ag Schnelltest (Kolloidales Gold);Beijing Wantai Biological Pharmacy Enterprise Co., Ltd.;Qarad BV;Speichel / nasal;95,40;99,60;http://www.ystwt.cn/wp-content/uploads/2021/04/Wantai-SARS-CoV-2-Ag-Rapid-Test-self-test-IFU1Test-BfArM.pdf
5640-S-118/21;COVID-19 Ag Test Kit;Bio-Gram Diagnostics GmbH;;nasal;82,40;99,70;
5640-S-041/21;BIOSYNEX COVID-19 Ag BSS;Biosynex Suisse SA;;nasal;97,20;100,00;
5640-S-214/21;Testsealabs® COVID-19 (SARS-CoV-2) Antigen Schnelltest;Brawa GmbH;;nasal;94,40;98,40;https://shop.testsealabs.de/import/Gebrauchsanweisung.pdf
5640-S-078/21;COVID-19 Antigen Rapid Test;CHIL TIBBI MAL. SAN. VE TIC. AS.;;nasal;98,55;99,57;https://mca-management.de/downloads/chil_swab_antigen_laie_280421.pdf
5640-S-017/21;Canea Covid-19 Antigen Speichel Selbsttest;Core Technology  Co. Ltd.;SUNGO Europe B.V.;Speichel;97,60;99,10;
5640-S-069/21;Core tests® COVID-19 Ag Test;Core Technology Co. Ltd.;Wellkang Ltd.;nasal;98,10;99,20;https://drive.google.com/file/d/1DstyRBE5-q6kpTM6hePmgnTJuF5lqZDJ/view?usp=sharing
5640-S-233/21;SARS-CoV-2 Antigentest Kit (Kolloidales Gold) - Laientest / Selbsttest;Deucin GmbH;;nasal;91,15;99,02;
5640-S-164/21;SARS-CoV-2 Antigen Rapid Test (Colloidal Gold);EJOY-GmbH;;nasal;95,91;100,00;
5640-S-399/21;COVID-19 Ag Antigen Selbsttest zur Eigenanwendung;Eurobio Scientific;;nasal;93,28;99,20;
5640-S-154/21;CORA-CHECK-19 comfort;fameditec GmbH;;Speichel;96,30;99,13;
5640-S-219/21;SARS-COV-2 Antigentest Kit (Kolloidales Gold);Genrui Biotech Inc.;Lotus NL B.V.;nasal;91,15;99,02;http://www.genrui-bio.com/u_file/images/21_05_25/6f2b636719.pdf
5640-S-166/21;GenSureTM COVID-19 Antigen-Schnelltest NASAL;GenSure Biotech Inc.;OSMUNDA Medical Technology Service GmbH;Speichel;96,86;100,00;https://www.xirion-solutions.de/downloads/GenSure_Packungsbeilage_Nasaltest.pdf
5640-S-411/21;GenSureTM COVID-19 Antigen-Schnelltest SPUCKEN;GenSure Biotech Inc.;OSMUNDA Medical Technology Service GmbH;;96,73;100,00;https://www.xirion-solutions.de/downloads/GenSure_Packungsbeilage_Spucktest.pdf
5640-S-185/21;einstufiger Test für SARS-COV-2-Antigen;Getein Biotech Inc.;CMC Medical Devices & Drugs S. L.;nasal;97,06;98,71;https://www.asiatrading-group.eu/wp-content/uploads/2021/06/2204_Manual_corrections_bfarm_GE_MC4_AP4_DrSt1.pdf
5640-S-230/21;2019-nCoV Ag Rapid Detection Kit (Immuno-Chromatography);Guangdong Longsee Biomedical Co., Ltd.;MedPath GmbH;Speichel;87,58;99,09;https://en.longseemed.com/static/pdf/LS-C-T-008-new.pdf
5640-S-103/21;SARS-CoV-2 Antigen-Saliva / Sputum-Test Spucktest;Guangzhou Wondfo Biotech Co., Ltd;Qarad BV;Speichel / Sputum;97,60;99,09;
5640-S-179/21;2019-nCoV Antigen Test (Lateral Flow Method);Guangzhou Wondfo Biotech Co., Ltd.;Qarad BV;nasal;97,83;99,08;
5640-S-245/21;SARS-CoV-2 Antigentest Kit (Kolloidales Gold) - Laientest / Selbsttest;Günter Keul GmbH;;nasal;91,15;99,02;
5640-S-178/21;Wondfo 2019-nCoV Antigen Test (Lateral-Flow-Methode) Selbsttest;Haemato Pharm GmbH;;nasal;97,83;99,08;https://www.schnelltest-antigen.de/wp-content/uploads/2021/03/21-04-12-IFU-Wondfo-Antigentest-nasal-Laientest.pdf
5640-S-168/21;COVID-19 Antigen Rapid Test;Hangzhou Clongene Biotech Co., Ltd.;Shanghai International Holding Corp. GmbH (Europa);nasal;91,40;99,40;
5640-S-082/21;SARS-CoV-2 Antigen-Schnelltest (COVID-19 Ag) für Laien;Hangzhou Immuno Biotech Ltd. Co.;Lotus NL B.V.;Sputum;94,12;99,75;https://www.immuno-test.com/uploads/V1.0_SARS-CoV-2-Antigen-Schnelltest-fu%CC%88r-Laien_GebrauchsanleitungDE1.pdf
5640-S-009/21;LYHER® Covid-19 Antigen Schnelltest (Nasal);Hangzhou Laihe Biotech Ltd., Co.;SUNGO Europe B.V.;nasal;95,00;99,60;
5640-S-028/21;SARS-CoV-2 Antigen Rapid Test Kit;Icon Medlab GmbH;;nasal;95,06;99,62;
5640-S-286/21;SARS-CoV2 Antigen Test Kit (LFIA);Jiangsu Medomics Medical Technology Co., Ltd;R Sight B.V.;nasal;95,54;99,04;
5640-S-240/21;Covid-19 Antigen Rapid Test (Colloidal Gold);Joinstar Biomedical Technology Co., Ltd;Lotus NL B.V.;nasal;96,10;99,20;https://www.alpstar.at/upload/medialibrary/4.6_JOINSTAR_LAIENSTEST__Colloidal_Gold____ALPSTAR_Gebrauchsanweisung.pdf
5640-S-151/21;COVID-19 Antigen Schnelltest (kolloidales Gold) Probenmaterial: vorderer Nasenabstrich;JOINSTAR BIOMEDICAL TECHNOLOGY CO., LTD.;Lotus NL B.V.;nasal;96,10;99,20;
5640-S-291/21;SARS-CoV-2 Antigen-Schnelltest (Immunochromatographie);Labnovation Technologies, Inc.;MedNet EC-REP GmbH;nasal;;;http://www.labnovation.com/products/1415.html
5640-S-225/21;LAMA SARS-Cov-2-Antigen- Saliva/Sputum-Test Spucktest zur Eigenanwendung;Lama Licensing GmbH;;Speichel / Sputum;97,60;99,09;
5640-S-266/21;PocRoc®SARS-CoV-2 Antigen Schnelltest Set (Kolloidales Gold);Lumigenex (Suzhou) Co., Ltd.;Riomavix S.L.;nasal;93,33;99,43;http://www.lumigenex.com/SARS-CoV-2%20Antigen%20Rapid%20Test.html
5640-S-128/21;Medicovid-AG SARS-CoV-2 Antigen Schnelltest - Nase;MEDICE Arzneimittel Pütter GmbH & Co. KG;;nasal;96,19;99,20;https://medice.com/api/de-de/produkte/corona-tests/medicovid-ag-r-sars-cov-2-antigen-selbsttest/403000003202-gi-sars-cov2-antigen-selbsttest-nase-1-5-1.pdf
5640-S-049/21;MEXACARE Corona Home-Test 'Antigen';Mexacare GmbH;;nasal;96,10;99,20;
5640-S-147/21;COVID-19 Antigen-Schnelltest (Kolloidales Gold);MR Sanicom GmbH;;Speichel;96,10;99,00;https://www.mr-sanicom.de/wp-content/uploads/2021/04/Gebrauchsanleitung-mrsanicom-antigen-schnelltest.pdf
5640-S-045/21;NADAL® COVID-19 Ag Test;nal von minden GmbH;;nasal;94,10;99,99;http://www.nal-vonminden.com/pdf/DE05de00150_pi_ZV_NADAL%C2%AE COVID-19 Ag Test (Ref. 243103N-20H)_homeuse_Rev03.02_D.pdf
5640-S-096/21;NanoRepro Antigen Schnelltest (Viromed)/NanoRepro Antigen Rapid Test (Viromed);NanoRepro AG;;nasal;97,33;99,33;https://www.nanorepro.com/media/NanoRepro_SARS-CoV-2_PB_VIROMED.pdf
5640-S-296/21;Covid-19-Antigen-Testkit;New Gene (Hangzhou) Bioengineering Co., Ltd;SUNGO Europe B.V.;nasal;97,10;99,20;
5640-S-227/21;SARS-CoV-2 Antigen Rapid Test;Novatech Tibbi Cihaz Ürünleri Sanayi ve Ticaret A.S;;nasal;95,91;100,00;
5640-S-146/21;Sensitivo COVID-19 Antigen Test;OFM GmbH;;nasal;98,86;100,00;https://www.ofm-medical.de/wp-content/uploads/2021/04/OFM_Medical_Sensitivo-COVID-19-Antigen-Test_Gebrauchsanweisung_Laien.pdf
5640-S-140/21;Deni COVID-19 Antigen Test;OFM GmbH;;nasal;96,80;100,00;https://www.ofm-medical.de/wp-content/uploads/2021/04/OFM_Medical_Deni-COVID-19-Antigen-Test_Gebrauchsanweisung_Laien.pdf
5640-S-063/21;PCL COVID19 Ag Gold;PCL Inc.;Haemo Pharma GmbH;Speichel / Sputum / nasal;90,83;99,50;http://www.pclchip.com/eng/sub_n4/4_6.php?mode=view&number=904&page=1&b_name=eng_notice
5640-S-031/21;SARS-CoV-2 Antigen Detection Kit (Colloidal Gold Immunochromatographic assay);PerGrande BioTech Development Co., Ltd.;CMC Medical Devices& Drugs S.L.;nasal;94,78;99,05;
5640-S-020/21;(SARS-CoV-2) Antigen Rapid test COVIDENT COVID-19;Pierenkemper GmbH;;Speichel;99,27;100,00;
5640-S-015/21;HIGHTOP SARS-CoV-2 (COVID-19) Antigen Rapid Test;Qingdao Hightop Biotech Co., Ltd.;MedNet EC-REP GmbH;nasal;98,08;99,80;
5640-S-123/21;COVID-19 Antigen Rapid Test kit(Swab) (self-testing);Safecare Biotech (Hangzhou) Co., Ltd.;NIC GmbH;nasal;97,52;99,40;
5640-S-474/21;Green Spring® SARS-CoV-2-Antigen-Schnelltest-Set;Shenzhen Lvshiyuan Biotechnology Co.,Ltd;Obelis s.a.;nasal;96,80;100,00;https://www.lsybt.com/En/ProDetail.aspx?c_id=76&id=978
5640-S-032/21;SARS-CoV-2 Ag Diagnostic Test Kit (Colloidal Gold);Shenzhen Watmind Medical Co., Ltd.;Shanghai International Holding Corp. GmbH (Europe);Speichel;90,45;99,45;https://en.watmind.com/Private/Files/20210414/6375399707507164546216415.pdf
5640-S-177/21;COVID-19 Antigen Testkassette(Nasenabstrich);Shenzhen zhenrui Biotech Co.,Ltd;Lotus NL B.V.;nasal;93,00;97,00;
5640-S-055/21;COVID-19 Antigen Testkassette(Speichel);Shenzhen zhenrui Biotech Co.,Ltd;Lotus NL B.V.;Speichel;85,60;97,30;
5640-S-292/21;REDTEST  SARS-CoV-2 ANTIGEN RAPID TEST  (COVID-19 AG);Sigmed Sp. z o.o.;;nasal;98,13;100,00;
5640-S-056/21;SGTi-flex COVID-19 Ag;Sugentech, Inc.;MT Promedt Consulting;nasal;95,06;99,29;
5640-S-079/21;ANBIO Corona Antigen Nasentupfer;Teda Laukoetter Technologie GmbH;;nasal;93,87;100,00;
5640-S-339/21;SARS-CoV-2 Antigen Rapid Test Kit;Triplex International Biosciences (China) Co., LTD.;Lotus NL B.V.;nasal;99,00;100,00;
5640-S-053/21;RapidFor SARS-CoV-2 Rapid Antigen Test;Vitrosens Biyoteknoloji Ltd. Sti.;;nasal;97,03;99,00;
5640-S-156/21;SARS-CoV-2 Antigen Rapid Test Kit (Colloidal Gold Immunochromatography);WQS Management Consultants GmbH;;nasal;95,06;98,54;https://www.wqs.de/wp-content/uploads/2021/04/IFU_SARS_376x276_4.1_farbig.pdf
5640-S-206/21;SARS-CoV-2 ANTIGEN RAPID TEST (Saliva)  Speichel Schnelltest - Eigenanwendung;XIAMEN WIZ BIOTECH Co., Ltd.;Qarad EC-REP BV;Speichel;95,35;100,00;
5640-S-210/21;SARS-CoV-2 Antigen Rapid Test (Colloidal Gold);XIAMEN WIZ BIOTECH Co., Ltd.;Qarad EC-REP BV;nasal;95,91;100,00;
5640-S-064/21;'AndLucky' SARS CoV-2 Antigen Rapid Test, Anterior Nasal Check (minimal-invasive);Zhejiang Anji Saianfu Biotech Co., Ltd.;Brand-New Trading GmbH;nasal;97,50;99,10;
